,verbatim_text
5656,"more options on 2 hour flights, would be nice."
5657,No snack offered on the return flight.
5658,You need to offer water more than once on a 6 hour flight. It was hard to get anyone's attention.
5659,"No, nothing wrong I just opted out."
5660,No Apple juice.
5661,"Unlike our flight UA 300 Saturday Sept. 10, 2022 the food was very good."
5662,Please update snack options to purchase and spirit selection. Add tequila!.
5663,They only offered me water no food ( snack ).
5664,We read on the website that alcohol was to be offered free but it was not.
5665,Nothing was offered on the flight.
5666,Asking me to rate food & beverage in the first half of the survey is a joke is not it?. Rate 2 biscuits and a handful of pretzels?. Get serious.
5667,"We also had the takeoff snack box, and it was the best for the price I have had on any airline."
5668,Should have more of a variety to choose from (snacks) and should be offered twice.
5669,Nothing was offered.
5670,No.
5671,More choices.
5672,I was in Business Class. I would like to see the food service go back to the way it was before COVID.
5673,I was surprised that we received a snack sandwich and beverage service toward the end of the flight. The sandwich was good and served at the right temperature. Turned out that it was nice to have since I had two more flights to take to my final destination and got home late.
5674,No one offered coffee to my wife.
5675,I was never asked if I would like coffee or not.
5676,No.
5677,"Again, as in May we were offered water on one occasion apart from the drink service. It is difficult to keep asking the passenger next to you to let you out because you want some water. Other airlines offer water on boarding & twice during the flight."
5678,The burger was served extremely hot and I had to wait a while just to pick it [burger] up to eat. It took over ten minutes and it still did not cool down completely.
5679,no.
5680,n/a.
5681,I really miss Honey roasted peanuts!.
5682,Not enough healthy selections.
5683,"Beverages were only offered at the beginning of the flight and at the end. Granted, it was likely not to disturb sleeping patrons however, for a 9 hour flight, there should have been more."
5684,"The food was not wonderful, but it was vastly improved since the last time I flew."
5685,The waffle with berries was fantastic!.
5686,My wife has diabetes. she did not receive a meal to accommodate her.
5687,An alternative vegetarian meal would have been nice . I am not a fan of pasta .
5688,I struggled to order these from the website. I could see what was available on-line. I could not order them.
5689,I did not realize food had to be ordered before boarding. I liked it better when you could order in flight with a credit card.
5690,I was glad to see a vegetarian meatball option.
5691,for first class need a little better options.
5692,I would of liked a can instead of just a sippy cup.
5693,"Their should be a third food option. The waffle is overly sweet. the eggs and ham does not work for vegans or kosher diets. The beverages offered to me in first class were only water, coffee, and orange juice. No other beverages offered."
5694,None.
5695,Tasted better than it usually had in the past.
5696,The dessert was inedible. The dinner tray and drinks were slow to come. The tray had a bowl of nuts on it which I would have served either with the boarding sparkling wine or shortly after take off with the cocktails. Other than that…it was good.
5697,Cranberry Juice.
5698,Very little room on tray tables when served.
5699,What I am shocked about is how meals are no longer served and we either have to bring our own our pay high prices for mediocre food. How about you just continue to offer free drinks and stop hawking food/alcoholic beverages on the flights?.
5700,"A meal was served, and it was quite good (I chose tortellini), and served hot, and I had a selection of wines to choose from -- that was nice!. Where I think my reaction was not so positive was the snack served just prior to landing, which was some kind of turkey crostini, and I thought it was flavorless and the amt of turkey was meager."
5701,A little more snack variety.
5702,Tea and coffee was milky and tasteless Hard to get the attention of a flight attendant during meal service Robotic experience.
5703,"I think there should also be Sprite Zero. also known as diet sprite. We need something no caffeine but also no calories, besides water."
5704,The meal I was served was tasty. The only issue was they did not have the meal that I had preordered.
5705,No.
5706,I expected to see other items offered to buy.
5707,"No, but should be more options for Snack."
5708,I liked the vegetarian option for a meal.
5709,Nothing to note.
5710,It was fine.
5711,Was in first class and all that was offered is pretzels and waffle cookie.
5712,"I just feel upset about the dysfunctional meal tray, drink spillage, and dirty bathroom."
5713,"The flight was so short that there was no service- if that is the case, suggest you set that as the expectation so we can have coffee before boarding!."
5714,wine selection very satisfactory.
5715,I had a cookie that was delicious. It was only offered on one of the flights. I wish I had it on the others. Really good.
5716,"It was not offered on the short flight up to Boston, but was in the way back. No snacks offered though."
5717,Could provide a snack.
5718,Oh I thought you were taking about my flight from Rome to Newark….
5719,There seems to be no differentiation in snacks between first class and coach on short domestic flights. this is one area for potential improvement.
5720,"I wine list would be appreciated in stead having to ""ask"" for it."
5721,"I love the cookies, but can we get a non pretzel option for the salty snacks?."
5722,A free snack option like the typical biscuits or stroupwaffle would have been nice.
5723,I could not bring up my icon on United to purchase drinks or snacks.
5724,They give us our snack. out drinking comes 25 minutes later. Just do them together.
5725,No beverages offer.
5726,ONLY ONE NUMBER BEVERAGE SERVED.
5727,"Already mentioned earlier, ended up getting vegetarian option as that was all that was left by the time our turn came."
5728,Would be great to have water before we landed.
5729,n/a.
5730,None.
5731,Water should be offered but not out of a community bottle.
5732,The Food Service was very weak. I know that additional snacks were offered for a cost. I flew Southwest Airlines from CA to HI. they provided an Upgraded Snack Package at no charge for the long flight. United did not. Southwest Wins.
5733,"Traveling is tuff right now with delays, it would be nice to have sandwiches, a salad ect."
5734,.
5735,Vegetarian lunch was some melted cheese on a roll. Not very appetizing.
5736,It is a long 10 hour flight. no meal was serve just snacks.
5737,NO.
5738,I think offering dinner at 11 in the night on this flight is not a great idea. Most people eat dinner between 6-8 pm. Probably best to give a small snack and then a good breakfast in am. Offer of fruit and yougurt at breakfast was good.
5739,I was very happy to see that snack boxes were available for purchase. Other airlines have the available on the same segment.
5740,I appreciated the orange soda water with zero sugar as I am on a keto diet.
5741,I covered this in my earlier comments.
5742,"I wanted tonic water <💧> <😕> We had registered as vegetarian. food portion was very small. My partner got ice cream. I did not. I understand that they are busy. But to leave the dessert out, is not gone unnoticed. However, I do appreciate them coming around several times to offer water <💧> as it is essential to stay hydrated."
5743,"loved no ice, and especially for ME: cranberry juice, and for both my husband and me: Decaf coffee. Also I like the table and area wipes (my husband does not bother."
5744,Water is dispensed in very small cups which seemed very wasteful for a 12 hour flight. A bottle of water should be handed out instead. The plastic cups are very wasteful and bad for the environment. Maybe paper cups or something biodegradable would be better. Not enough water is given for the length of flight. Cans of soda were offered which was nice. The first United flight we took from SFO to Frankfurt did not offer cans of soda. Just small cups at a time.
5745,I do prefer the more elegant setting and food service on Swiss.
5746,"Soft drinks should be served as a whole 12 Oz can. Also, no pretzels?."
5747,"The hamburger was just ordinary, nothing special. Had to ask for more ketchup. Would have liked BBQ sauce instead. NO FRIES!!!!."
5748,Thanks for the nuts - a tradition. Chicken was tastly but very small portion. Cheesecake in saran wrap is taky.
5749,"I would just like to share that your selection of vegan options is not good. With more individuals choosing vegetarian and vegan, especially in first class, the selection is not good."
5750,"It was a surprise having food served. I stuffed a Burger King chesseburger down before and wish I would have known there would be a meal served. I always get emails about wifi and entertainment. prior to flying, however do not recall any mention of a meal."
5751,No.
5752,More than one vegetarian/pescatarian option would be good.
5753,In general food provided across the airline industry is poor to terrible. The food we had on this flight was good. My wife and I commented to each other about the taste and quality.
5754,Offered cookies on flight up but not back. Was told not offered on flights below a certain number of miles.
5755,We preordered food and drinks for both flights however on our first flight the system was down and they could not provide the snacks we ordered. On the way back they did not have the snack available anymore we got cookies and almonds instead. If you found on a meal on your flight and you do not get what you preordered it is very disappointing!.
5756,United provided snacks free of charge at the gate as the restaurants were closed at SFO. This helped so many of us especially those making a connecting flight. We would have been stuck without anything.
5757,None at this time.
5758,"I noticed that for a few passengers that nearly missed the connecting flight and had to RUN to catch the plane, the attendant offered them water immediately because they were clearly out of breath. That was very nice of her."
5759,I appreciated that I was able to get the whole can.
5760,I was pleased to receive snacks and a dinner on the flight.
5761,"i was surprised to receive the entire can of juice, that was nice."
5762,No.
5763,No Gluten Free choices.
5764,No choice big snacks. No meal.
5765,Same selection as flight to Florida.
5766,There was no snack offered.
5767,Did not have time to get food at the airport due to security taking so long. Would have liked another snack option for our flight.
5768,I choose the beef is good. But the side dish soba was not good.
5769,A few more options perhaps. Seeing the same 3 to 4 choices on all my flights.
5770,We did not have any.
5771,Loved that there was a white wine that was not Chardonnay. Yay Pinot Grigio!.
5772,No.
5773,ran out of cheese tray and a couple passengers were not happy about that.
5774,"The ""lunch"" served at the end of the flight - a warm ham-and-cheese roll - was very pleasant, more so than trying to eat with a fork and knife."
5775,more cookies.
5776,No.
5777,Snacks are too small and not very good.
5778,I preordered. my preorder was changed.
5779,"I had the chicken on my flight…. it was cold, which I do not like…the size of the chicken was large and the plastic fork did not cut the cold chicken….. The salad did not have dressing and was bland. the dessert was good."
5780,The chicken was cold and hard.
5781,The food options listed on the app were different than what we received onboard. There should more more options to choose.
5782,I think something more than pretzels and cookies could be offered to economy plus - a granola bar or something.
5783,"I was upgraded to first class so had a cheese tray snack, not pretzels."
5784,Just on timing they gave me a whole soda but no time to consume product <:/>.
5785,Tequila would be nice.
5786,Need healthier snacks <;)> maybe nuts?. Granola ?.
5787,"The flight attendants were not aware that the vegetarian meal required heating, so it was cold and unpleasant."
5788,Charge me $20 more on my ticket and provide snack box and wifi entertainment for free.
5789,Ran out of my first choice meal the hamburger before arrival. Ended up with a vegetable plate with couscous. Would have preferred a chicken dish.
5790,I was upgraded to first and enjoyed the cheese tray and almonds. The food was excellent especially for a short trip.
5791,No.
5792,N/A.
5793,Sandwich was terrible.
5794,"good experience, will fly united again."
5795,Nope.
5796,Appreciate the snacks.
5797,"Boring , need to change it [need] up."
5798,Could have both snacks. Pretzels and cookie.
5799,It would be good to have packets of nuts available without having to get the entire snack box. Wasteful.
5800,No.
5801,Thank you for the very nice chicken and rice hot meal. I really enjoyed it.
5802,did not have a choice in premium economy which seems surprising as there are only a few seats and it was not full.
5803,"Short flight, no food/beverage service, could at least hand out small bottles of water."
5804,"I like the standard menu United offers drink wise, but it would be nice to see some Regional Beers on their respective flights. Wisconsin and Illinois both have great breweries for example."
5805,No thanks.
5806,"No wine selection menu, offered only by color. Pre poured champagne prior to takeoff was flat."
5807,Excellent lunch One of the best I have had on UA.
5808,No.
5809,variety is poor - the same meal (chicken and meatball) options every flight.
5810,Wou.
5811,Food has vastly improved!.
5812,the kosher food from usa to Israel is excellent. from Israel to usa not so good.
5813,nothing- great!.
5814,No.
5815,Took a long time to get beverages. Just wanted ice as I already had water. Took about 2 hours in before they served anything.
5816,The meals in buisness are poor. It is not like before the covid19.
5817,Pkease !!. You mUST start to offer plant based milk for coffee!!!!.
5818,"In business, something more than a box would be wonderful."
5819,"Asparagus was atrocious. Tough, not tasty at all. Small muffin/cookie for dessert was insufficient. Need more milk, only had one glass and wanted more."
5820,The dinner meal was good. The pre landing meal was not good. The quiche was dried out and tasteless. It also was the only option.
5821,When booking the flight I chose a vegan meal option. there was not one available and not on the list of special meals. My flight attendant Randy got me every available vegan snack and was extremely apologetic and very sweet.
5822,The coffee was not so hot.
5823,Very clean fresh coffee.
5824,"Prefer Remy Martin VSOP Congac, American and United stopped carrying Congac."
5825,Not much selection but they did have Bloody Mary mix.
5826,Love that you have added champagne to domestic first class.
5827,Decaf coffee is instant coffee I have to mix myself. Not cool.
5828,No snacks were provided from SFO to ORD.
5829,Need a larger selection of wines.
5830,bigger cup of coffee.
5831,Offer additional drinks on long flights. We were offered one drink.
5832,I wish stroopwaffle were available on more flights!.
5833,I found it extremely frustrating to have to load my info and get the app just to purchase beverages. I did not buy anything and probably will not on future flights.
5834,"It seems very little to ask, and a generous gesture to offer a little something on a flight. In the absence of a light snack and drink, I will always bring my own."
5835,Nothing much.. Everything was upto the mark!!!.
5836,Return the meal service especially in longer flights.
5837,Lighter fare would be a good option.
5838,"Appreciate the ability to preorder. However, had to ask the attendant for our preordered boxes. Would have been nice if they brought them automatically when the food service started."
5839,I would like different kind of food.
5840,The food options were much better on the return trip. not everything was available. The spirits and coffee were fantastic and brewed fresh nearly every time I requested a cup.
5841,More snack options.
5842,No.
5843,Most people bring their own things. I suggest offering high quality products for sale only.
5844,The food tasted great. Not a wide variety of options presented for dinner and no options were presented for dessert.
5845,No snack was offered.
5846,I forgot to get the credit card for the flight. the snacks is not good enough to sustain The five hour flight.
5847,N/a.
5848,more sparkling water options or maybe an Ice Coffee option for purchase?.
5849,Just would like a little more selection of the snacks and maybe a little bit bigger portion.
5850,"On all of my recent flights that I have gone first class, it seems like the food options are always the same. It is either chicken or impossible meatball. I do not think either are very good and it would be nice if there were different options based on different flights."
5851,The hamburger bun was dry and crumbly!.
5852,"Two things: the food was not advertised as an amenity in First Class on the app, so we ate ahead of time - alas. Second, the chicken entree was not available. even though there were only 12 of us in First Class. Seems a miss. Thanks."
5853,Glad to see I could get Bloody Mary Mix on board for my beverage choice.
5854,If possible more options on sodas.
5855,No.
5856,It is always the same cookies which Become quite boring after a few fights.
5857,The meal was probably the best tasting meal that I have ever had on a plane. It surprised me in that it was excellent.
5858,You should be able to purchase food and beverage without pre-registering your credit card!.
5859,I never received the coffee I asked for.
5860,It was a duplicate menu to the Cincinnati to Denver menu. Actually had snack box on this flight.
5861,The meal option was identical to the Cincinnati to Denver segment. Therefore snack box on this flight.
5862,A little snack or something would have been nice.
5863,"I was very happy to get an inflight meal, was not expecting it based on past experiences. The thing that I noticed that might be improved was salad dressing for the salad. It did not taste like there was any on the salad, that is all. Meals were a very unexpected delight. Thank you."
5864,"They used to give out drink tickets you can use on your flights, you should bring those back."
5865,The flight attendant forgot to give me a meal like my seat neighbors. I do not know why. I had to ask several times to be served.
5866,More options.
5867,Would like to see a better quality cabernet among the offerings.
5868,It would be nice to offer nuts of some kind.
5869,Having vegetarian/vegan options is a huge step up and MUCH APPRECIATED!!.
5870,See initial response. The idea of first class should not be waiting until you get in the air and level and then offered something. No water or anything. The attendant made me feel like he was a retired professor and I was getting yelled at. He came up to my chair at one point and pressed the button to recline me with zero notice. Very rude.
5871,Not on this flight.
5872,It was a quick flight so there was no food or beverage service.
5873,Food options were limited. Food quality was average.
5874,A snack would have been nice: pretzels or chips or nuts.
5875,"During the flights back home, multiple United planes were out of hot food."
5876,couple of things: it should not be up to me to remember my pre-selection;. there was no choice as choice was for frequent flyers.
5877,"If a customer likes a seltzer plus cranberry, I think both cans should be given. I make my own spritz and want/need the 24oz of fluid. Especially because the second round of drinks was just the cup worth. It is a long flight."
5878,Have not got it.
5879,It was great to be able to choose. enjoy!.
5880,no free snacks like a bag of pretzels or peanuts?.
5881,A snack would be nice.
5882,"Same old same old--United needs to up their game with what is offered for lunch/dinner in the first class cabin. Same choices for so long now, and not very good. Again, better experience with American."
5883,"I ordered coffee, which was really good."
5884,Just the fact the pilot was the best I have ever had.
5885,Change the snack box every 6months as it gets old for road warriors. 1K members should get more than 1 complimentary adult beverages.
5886,No.
5887,Cheese tray or chicken bowl.
5888,No snacks were served.
5889,"No, but the food on my flight to London was amazing!."
5890,Vegetarian lunch/Pasta was very bad. You may consider other options or better chefs.
5891,There was no juice selection. Really?!. Not even a snack?!.
5892,I was in first class. I was napping when the snacks were distributed. I was not offered a makeup snack when I woke up. Also it seems like this flight was long enough for something other than a snack.
5893,The meal was “ok”. I remember when United meals were tastier.
5894,"I had not flown in several years and was surprised to find inflight meals had to be purchased. Why the change?. Also, to purchase anything on the plane the United app had to be used. Yes, convenient but perhaps not everyone has a smartphone."
5895,There was no service on this flight. Too short.
5896,Wine was sub par for the usual basic red wine served.
5897,Beverages were served a little late.
5898,Offer more frequently.
5899,No.
5900,Prices.
5901,I had my own water and snacks.
5902,It was exceptional.
5903,Request for vegan food to UAL was ign.
5904,There were no Swoopwaffles offered. Snacks were extremely limited and very small.
5905,Breakfast amount was precarious. Dinner excellent.
5906,I really appreciate the effort made to provide a tasty gluten-free meal.
5907,"The dessert was a custard tart and it was incredible!. Like someone french had prepared it [dessert]!!!. HOWEVER.. the BREAKFAST WAS HORRIBLE. It was the eggs with sausages that had hard inedible things in it. so I stopped eating after 2 bites of the sausage. And there was some bready thing on the plate with a tomatoey concoction on top of it... disgusting actually. The teeny croissant was worse than any croissant could be. So, in contrast to the chicken with the incredibly tasty sauce, the breakfast was abhorrent. Too bad, because I had no opportunity to eat after breakfast for quite some time."
5908,The taste could be improved.
5909,Please provide gluten free options.
5910,no.
5911,Everything was just right!.
5912,Should have better quality of food...
5913,"a small bag of pretzels would have been appreciated, especially since I sat in row 7 and first class got all the snacks they wanted and were offered several times."
5914,Top notch service.
5915,Would be great if the service included a small snack offering even if it is just a cracker or cookie.
5916,I was given a caramel waffle as a snack. It was tasty!.
5917,White wine was nasty. Not very good. Fruit place was supposed to have a chocolate candy but did not. Pictured showed it with candy.
5918,I like the addition of the AHA sparkling water.
5919,It would have been nice to have a small snack. Such as pretzels.
5920,"The “pre-arrival snack” in business class was awesome!. Cheeseburger, fruit, and a brownie. Simple and tasty!. We do not need quinoa or couscous…. just real/normal food like this. Very nice."
5921,"Yes like a Premier 1K, the flight attendents did not offer me mi complementary food and beverage."
5922,N/A.
5923,Should be able to get at least two varieties.
5924,It was a bit confusing about ordering in the flight vs online beforehand.
5925,"Yes, enjoyed the pre-flight drink of mimosa."
5926,No.
5927,All good.
5928,They did not offer any beverages. there was no turbulence. Awful as we had been delayed over an hour.
5929,Bad food.
5930,I had asked for pretzels or a snack. the flight attendant told only certain things are available for purchase and walked away.
5931,Flight attendant asked me if I wanted another when she saw I was empty. That is service!!.
5932,I really wish Mai Tai's were boarded for flights to Hawaii. That used to be a great part of the experience. Wish there were more options geared towards providing a Hawaiian style experience.
5933,"I tried to select my meal online, 5 days before the flight and just 30 minutes after I received the email notice about advance selection. It said that everything other than the vegetarian option were no longer available. That makes no sense at all. So as a business class flyer, I had to buy a sandwich at the airport to carry aboard. That just am not right."
5934,"Often, there was no choice to pick from for the passengers seated in the back seats of the plane."
5935,Only offered water.
5936,I like the flavored seltzer water choices.
5937,Need more food on UA 1 & UA 2 flights… two meals and one snack is highly inadequate for a 15hr+ flight.
5938,Breakfast was offered on the 8:00 AM flight and both choices offered were great.
5939,NO.
5940,quality could be better of the meal.
5941,Should have better food service for such a long flight.
5942,Tasted great. Best airline food I have had in a long time.
5943,Our meal was not that great. Too cold.
5944,The tomato did not look good.
5945,Todo bien.
5946,No.
5947,"The tea is brewed in pots that have previously been used for coffee and you can clearly taste it - in a word, gross."
5948,"They served the meal right away, so we could sleep (it was a redeye flight)."
5949,please bring back tito's vodka and illy coffee... the coffee is horrible now and the vodka cheap !!. you can do better !. thank you.
5950,Same snacks all the time. I flew May July August and Sept and same snacks.
5951,"I would think on a long flight of 5 hours or more, United would provide a FREE meal. We flew from Venice to Newark on United and received a FREE dinner and FREE sandwich & snack. So, why on our flight from Newark to Los Angles, we only got a wafer?."
5952,No food or beverage service. It would be nice to be offered little water bottles at least.
5953,"WiFi was not letting anyone use CC on file. Forced to use miles, which I would rather not have done."
5954,N/A.
5955,The purchase option especially for vegetarians like me is almost non-existent.
5956,"the food choice was limited to chicken and vegi meatballs, so not really a choice. The chicken dish was ok, however, it was a repeat dish from my flight earlier in the week, so sad to have the same meal again. Fruit was ok, but would have preferred a salad. Dessert was the warm cookie/muffin thing, while it tasted good, also very small."
5957,"Hot chocolate and other brands of beer, only one was available that was a light beer. I wish I could have more food on board."
5958,None provided.
5959,Who no beverages served before take off?.
5960,No.
5961,I enjoyed the complimentary Stella beer.
5962,All was great.
5963,"On my business class flight to boston, i did not receive a snack, even though I requested one."
5964,Please change your offerings more often. I have not flown in 6 months and still the options were the same.
5965,Flight was not long enough.
5966,I was surprised that on a long haul business class product there was no wine list printed on the menu. It really enhances the experience when you provide a description of tasting notes and origin and wineries the wine comes from. It is not helpful when you ask a flight attendant about the wines onboard and they know nothing about them. All they know is “red or white?”. And when you ask about a white option all the can say is “I think one is a Chardonnay and one is a Sauvignon”.
5967,None consumed. No problem.
5968,"The tea is always too strong, dark color, not fresh."
5969,It would be good to have more availability of choices. my first choice of entree was not available for some reason.
5970,Flight attendants were spot on!. Fantastic service!.
5971,Ok.
5972,Great breakfast considering the other choices.
5973,"Instead of offering water or champagne prior to flight, I would prefer beer."
5974,Food choices in business class was not optimal. Frankly my wife nor I really enjoyed the meal.
5975,It is a short flight...cookies work fine.
5976,On such a long flight I would think another round of beverages would be appropriate.
5977,more vegan snack options.
5978,There was no hot food available on our flight. I did not not find out until we had boarded. The food was inedible. was not enough quantity in comparison to a hot meal. The offering of drinks is great. The white wine is terrible.
5979,Would suggest more options.
5980,It would be nice if you would have some peanuts or pretzels or Biscotti.
5981,"There were no complimentary snacks offered on this flight. Usually at least cookies or pretzels would be provided. Only snacks for sale. Regarding beverages, on both American and Delta, passengers in Comfort Plus are provided with complimentary alcoholic beverages - this would be a nice change for United and would make it on par with the other 2 major carriers."
5982,"""Impossible meatballs"" option is actually one of the best I have had on the short haul (USA internal) flights in recent years."
5983,The snack could have come a bit earlier.
5984,The other kinds of cookies I wanted.
5985,It is a long flight. could have had better snacks.
5986,Wanted to Suggest - Maybe some snack could have been given ... Being an early morning flight also the stalls at the airport were closed.
5987,the meals were excellent.
5988,the option of sweet and salty was a nice touch.
5989,The options available to purchase in advance were very limited. I bought a sandwich and apple in the terminal.
5990,"In past a wafer or cookie were offered with a beverage. That was not the case, and when I asked, was told they were not served any longer."
5991,No thanks.
5992,"I wish all airlines would offer a small meal of some sort. Back in the day, if you were on a early flight. you would get breakfast food and afternoon flight, would be a sandwich and chips."
5993,Breakfast Belgian waffles good.
5994,no snacks.
5995,Only beverages were served on the flight. With the cost of the flight a pack of peanuts or pretzels would have been nice.
5996,Maybe variety snacks.
5997,"The food menu options need to change. I fly most every week. when honored with an upgrade, I find the menu options have not changed since June 1. It is time to introduce varieties."
5998,"The domestic flights, you have to be a member of united to get drinks. Can not pay by card or cash."
5999,This is the first time the meal was decent but not many options. Most of the time there is not much of a choice or not enough of the option you want or the food is terrible.
6000,"Food was actually good. portions could be a little bigger, especially for the prices we are now paying to fly in the first class cabin."
6001,Great coffee.
6002,No hay nada que decir.
6003,The quality and generosity of the meals do not equal previous years in business/first. It really seems that you have slipped and cut back despite the full fare ticket prices we pay for this class of service.
6004,Soda pop was flat.
6005,"While we were delayed I was surprised the flight attendants did not offer us a beverage, not even water. I expected more having paid to sit in first class."
6006,Delta and American offer a drink to the first class cabin on entering the plane. There was not enough of some main course items for all first class cabin customers.
6007,Bus class food should be better at the price I paid for ticket.
6008,No.
6009,Dessert was part of the meal.
6010,I could be better.
6011,"I remember when air lines Ofer food, I believe that for the price of the ticket the breakfast should be different."
6012,I did not get offered a variety of snacks. We had basil breadsticks. That is all there was. they were not good. The meal was pasta tortellini and it was ok not good. The ice cream was good.
6013,A healthy option would be preferred.
6014,People should be allowed to get to red wines at one time. Restricting to one seems unnecessary.
6015,So glad you had sparkling wine!.
6016,Food coming to Newark was good however the chicken meal going from Newark to Berlin had very minimal chicken and not very appetizing.
6017,No every was ok.
6018,The red wine is not very good!. I will get another option next time <☹️>.
6019,Sparkling juice and nuts.
6020,"For Polaris flight, please improve the presentation of the meals. It looks very cheap. Like microwave meals. Also the meal before landing just looked terrible."
6021,No Thank you.
6022,No inflight snack.
6023,Bigger portion and get rid of that Greek yogurt.
6024,"The cold grains salad of whole oat berries and other things was very good, and I was glad to see it because of how good oats are for diabetics. Bread rolls often seem very cold;. not sure there is a solution, but figured I would mention it."
6025,We were not given any snacks either segment of our flight.
6026,"from AMS to IAH was a LOT better then IAH to AMS, not sure it was the kitchen, the crew."
6027,No.
6028,I was very impressed with the service. the food quality I have not flown very much after Covid. I would definitely fly United really good experience.
6029,"Breakfast.. poached egg, not so good. Had a warm sandwich later that was pretty good."
6030,We were supposed to receive a midway snack but it [snack] was not offered.
6031,The no cookie was on my way back from Houston to El Paso.
6032,No.
6033,Limited availibility on the log flight from Denver to Hawaii and back. Would gladly pay for better amenities.
6034,The quinoa was good.
6035,Excellent.
6036,Good service and drink options. Wondering if the ground (at gate) beverage service for first class has changed. Sometimes ground beverage service is provided and sometimes not;. seems independent of flight length?.
6037,No.
6038,"I was surprised we got a complimentary beverage and snack, enjoyable!."
6039,I just liked having the option to be able to buy something more satisfying then the little snack bags.
6040,No allergy options ex-gluten.
6041,"On time , no issues."
6042,There was no complimentary snack.
6043,Just wish that one could get fresh milk with tea!.
6044,None.
6045,Please add a non-carbonated beverage option. Juice or sweet tea would have been appreciated.
6046,Chardonnay was not a good quality.
6047,"I did not partake of the food offered with my flight. The directions both verbal and printed about purchasing with only United credits, etc. I did not know how to access any of that and so did not know what was available to me in food or beverage. When I was offered food.. none of it sounded worth eating. so I declined both offers. From what I saw eaten and returns to the Galley not very many people actually eight some or all of their meal. I can only surmise from the smell and the look of it it is simply was not worth eating. As for beverages it is not clear of what comes with my first class ticket and what I would have had to purchase if I could have access to the United charge card service. The spiel from the cabin crew is simply not intelligible. I have very good hearing, despite my age. Regardless, the crew was a good one and most helpful."
6048,No pretzels or apple juice.
6049,No.
6050,"The hamburger meal should be changed to something else, the bread cooked too much where it is hard, not a meal for business class."
6051,They ran out of meat entrees and only had vegetarian options for the last 20 or so passengers. This was a full plane on a 7 hr flight.
6052,The entree was very tasty.
6053,I prefer low calorie snacks.
6054,Miss having the meal when flying cross country.
6055,Great food.
6056,No changes.
6057,Use a larger aircraft.
6058,Dessert was a cookie on the food tray that was adequate. Chicken was dry. side of tomato sauce was thick and bland. Vegetables and salad were very good. No snacks were served which would have been nice to have.
6059,Good choices.
6060,No.
6061,No.
6062,No.
6063,Beer was not cold. So replaced with wine which was good.
6064,Would be nice to have a larger snack for longer flights.
6065,Thanks for the services.
6066,"Food choice, or even a few additions, like more bread, cheese, crackers."
6067,Bring back the gummy bears or a chocolate option please. The almonds and banana were too healthy.
6068,I had food not the snack (I was thinking to select both). Just want to let you know the stir fried veggies are a bit odd. Soggy and salty sort of.
6069,The dinner (chicken) was strange.
6070,Have a seafood / fish option and less salt.
6071,They made the process quick & east. They had it down pat.
6072,No.
6073,It would be nice for KOSHER consumers if you had a certified kosher snack box available for PRE-ORDER (I realize that it would be impractical to stock every flight with kosher snack boxes).
6074,Small selection.
6075,The snack before landing was very nice. The main meal especially the Thai chicken was not great. Seems like the UA chefs could come up w/ something more appealing and tasty. Chef salad?.
6076,"American Airlines allows business class passengers to preorder their meals. United should as well. The choice between a pasta and chicken dish is not good, with no printed menus explaining the dishes. The quality of the food was ok, with the presentation substandard."
6077,I miss the warm nuts.
6078,Good.
6079,"I was pleasantly surprised by the frequency of ""feedings"". 3 times we got food service!."
6080,"not a good ratio of the options available for the premium plus cabin, the only item available was the chicken curry, had to ask for an item from the economy cabin."
6081,Did not love the lasagne. I was very happy the hot tea was pre made instead of dealing with a tea bag.
6082,"The breakfast was very poor after an intercontinantal flight, only a joghurt and a bar of muesli."
6083,I can not eat gluten so can not eat cookies or pretzels. I was handed cookies so took them home to my husband. It would be nice to have nuts or some option on such a long flight. Both options have gluten.
6084,I think that for a long trip. you should offer better snacks. 4 hours is a long time.
6085,A gluten free option would be nice or something that does not dry your mouth out so much.
6086,"The main course should be more ""natural"", with less add to preserve."
6087,"The chicken was spicy, We chose it [chicken] for the children but they did not eat it [chicken]. You should have let us known."
6088,"I flew first class, a variety of snacks were offered, I had the cheese and crackers, it was very fresh and good. I had to select Biscoff on the previous page be a use U was not able to move ahead without making a selection, this should be corrected on your survey."
6089,They should have provided a snack.
6090,I wish there was more fruit as snacks.
6091,Was looking forward to a snack w/ my coffee<🤷‍♀️>.
6092,I would prefer a quality cold sandwich option to a mediocre hamburger.
6093,Delicious.
6094,Food MUCH BETTER then befor.
6095,No.
6096,More options would be great.
6097,Yes.
6098,menu could stand more variety.
6099,"Very helpful, very lovely people."
6100,Just wish for my sprits I could have had the little bourbon bottle to use as I drank my beverage. It was a nice drink. I rather drink a bit at a time adding as I go.
6101,No.
6102,"I think you are WASTING MONEY on the kosher breakfasts. The heated portion is absolutely INEDIBLE;. I have NEVER seen any of the kosher eaters on United actually eat the kosher breakfast. They ALL get thrown away. GET COLD CEREAL and offer a choice of Corn Flakes or Special K or Cheerios, and everyone will be happier."
